# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 14:04:00 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
#
loc_rowid,pl_name,pl_controv_flag,pl_orbper,pl_orbsmax,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
106,55 Cnc e,0,0.73654740,0.015440,7.99000,7.99000,6.66000,0.050000,,,,5172.00,0.94,0.91,0.350,,4.43,,
107,55 Cnc e,0,0.73700000,,7.74000,7.74000,6.25000,,,,,5172.00,0.95,0.87,0.350,,4.43,,1.4100
108,55 Cnc f,0,261.20000000,0.770000,,54.66400,,0.320000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
109,55 Cnc f,0,260.98000000,0.792000,,46.87969,,0.142000,,,,5317.89,0.96,0.97,0.383,,4.46,,
110,55 Cnc f,0,260.00000000,0.781000,,45.76600,,0.200000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
111,55 Cnc f,0,259.88000000,0.770800,,47.80000,,0.080000,,,,5172.00,0.94,0.91,0.350,,4.43,,
112,55 Cnc f,0,260.70000000,0.775000,,44.81200,,0.000000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
113,55 Cnc f,0,262.00000000,0.788000,44.81200,44.81200,,0.305000,,,,,,0.95,,,,,
114,55 Cnc f,0,260.91000000,0.773300,47.00510,47.00510,,0.080000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
115,6 Lyn b,0,899.00000000,2.200000,,762.80000,,0.134000,,,K0 IV,4978.00,5.20,1.70,-0.130,1.176,3.16,,
116,6 Lyn b,0,874.77400000,2.180000,,702.40430,,0.125000,,,,,5.20,1.82,,,,,
117,6 Lyn b,0,934.30000000,2.110000,,638.83830,,0.073000,,,,4938.00,5.20,1.44,,,3.19,,
118,61 Vir b,0,4.21487000,0.049560,,5.11704,,0.099000,,,,5585.57,1.03,0.91,0.028,,4.37,,
119,61 Vir b,0,4.21500000,0.050201,,5.10000,,0.120000,,,G5 V,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
120,61 Vir c,0,38.09570000,0.215100,,16.11390,,0.068000,,,,5585.57,1.03,0.91,0.028,,4.37,,
121,61 Vir c,0,38.02100000,0.217500,,18.20000,,0.140000,,,G5 V,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
122,61 Vir d,0,123.01000000,0.476000,,22.90000,,0.350000,,,G5 V,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
123,7 CMa b,0,763.00000000,1.900000,,826.30000,,0.140000,,,K1 III,4792.00,2.30,1.52,0.210,1.053,3.25,,
124,7 CMa b,0,796.00000000,1.930000,,781.86180,,0.220000,,,,4794.52,4.91,,0.088,,,,
125,7 CMa b,0,735.10000000,1.758000,,587.98550,,0.060000,,,,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,
126,7 CMa c,0,996.00000000,2.153000,,276.51210,,0.080000,,,,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,
127,70 Vir b,0,116.68840000,0.480000,,2421.86460,,0.400000,,,,5531.00,1.84,1.14,-0.060,,3.97,,
128,70 Vir b,0,116.69335000,0.476500,,2297.89938,,0.398900,,,,5481.86,1.92,1.06,-0.040,,3.89,,
129,70 Vir b,0,116.69260000,0.481000,,2351.94200,,0.399000,,,,5439.00,1.94,1.09,-0.090,0.451,3.90,7.770,
130,70 Vir b,0,116.68900000,0.456000,,2084.88000,,0.397000,,,,,,,,,,,
131,70 Vir b,0,116.68840000,0.484000,2380.45000,2380.45000,,0.400700,,,,5545.00,,1.11,-0.012,,4.07,8.000,
132,70 Vir b,0,116.68800000,0.481000,,2357.02728,,0.398800,,,,5495.00,1.89,1.09,,,3.95,,
133,75 Cet b,0,691.90000000,2.100000,,953.49000,,0.117000,,,G3 III,4846.00,10.50,2.49,0.000,1.730,2.63,,
134,8 UMi b,0,93.40000000,0.490000,,476.74500,,0.060000,,,K0,4847.40,9.90,1.80,-0.030,,2.57,1.700,
135,8 UMi b,0,93.40000000,0.490000,,416.35730,,0.060000,,,,4847.00,10.30,1.44,-0.030,,2.57,,
136,81 Cet b,0,,2.170000,,1274.40000,,,,,,,,1.60,,,,,
137,81 Cet b,0,952.70000000,2.500000,,1684.40000,,0.206000,,,G5 III,4785.00,11.00,2.40,-0.060,1.778,2.35,,
138,91 Aqr b,0,181.40000000,0.700000,,1017.00000,,0.027000,,,K0 III,4665.00,11.00,1.40,-0.030,,2.52,3.560,
139,AB Pic b,0,,260.000000,4290.50000,4290.50000,,,,,K2 V,,,,,,,0.030,
140,AU Mic b,0,8.46321000,0.066000,,57.20940,4.40000,0.100000,,,,3700.00,0.75,0.50,,-1.046,,0.022,
141,AU Mic b,0,8.46300000,0.064500,17.00000,17.00000,1.40000,0.000000,,593,,3700.00,0.75,0.50,,,,0.022,
142,AU Mic c,0,18.85901900,0.110100,13.60000,13.60000,2.30000,0.000000,,454,,3700.00,0.75,0.50,,,,0.022,
143,BD+03 2562 b,0,481.90000000,1.300000,,2034.11200,,0.200000,,,,4095.00,32.35,1.14,-0.710,2.700,1.89,5.200,
144,BD+14 4559 b,0,268.94000000,0.777000,,467.19000,,0.290000,,,K2 V,5008.00,0.95,0.86,0.100,-0.320,4.60,,
145,BD+14 4559 b,0,268.94000000,0.780000,,330.54320,,0.290000,,,,4864.00,0.86,0.49,0.170,,4.26,,
146,BD+15 2375 b,0,153.22000000,0.576000,,337.21763,,0.001000,,,,4649.00,8.95,1.08,-0.220,1.570,2.61,7.410,
147,BD+15 2940 b,0,137.48000000,0.539000,,352.78000,,0.260000,,,K0,4796.00,14.70,1.10,0.280,2.010,2.80,7.100,
148,BD+20 2457 b,0,379.63000000,1.450000,,6807.63000,,0.150000,,,K2 II,4137.00,49.00,2.80,-1.000,3.170,1.51,,
149,BD+20 2457 b,0,379.63000000,1.050000,,17668.16970,,0.150000,,,,4259.00,71.02,10.83,-0.790,,1.77,,
150,BD+20 2457 c,0,621.99000000,2.010000,,3963.17000,,0.180000,,,K2 II,4137.00,49.00,2.80,-1.000,3.170,1.51,,
151,BD+20 274 b,0,578.20000000,1.300000,,1334.88600,,0.210000,,,K5 III,4296.00,17.30,0.80,-0.460,1.960,1.99,,
152,BD+20 594 b,0,41.68550000,0.241000,16.30000,16.30000,7.89000,0.000000,,546,G,5766.00,0.93,0.96,-0.150,-0.056,4.50,3.340,1.7000
153,BD+20 594 b,0,41.68550000,,22.24810,22.24810,,0.000000,,,,5766.00,1.08,1.67,-0.150,,4.50,,1.8900
154,BD+20 594 b,0,41.68864400,,,,,,,,,5703.00,0.96,0.96,-0.060,,4.38,,
155,BD+45 564 b,0,307.88000000,0.830000,,432.24663,,0.120000,,,K1,5004.00,,0.81,-0.090,,4.22,,
156,BD+48 738 b,0,392.60000000,1.000000,,289.22530,,0.200000,,,K0 III,4414.00,11.00,0.74,-0.200,1.690,2.24,,
157,BD+48 740 b,0,733.00000000,1.700000,,540.31100,,0.760000,,,,4534.00,10.33,1.09,-0.130,1.640,2.48,,
158,BD+49 828 b,0,2590.00000000,4.200000,,508.50000,,0.350000,,,K0,4943.00,7.60,1.52,-0.190,1.470,2.85,2.340,
159,BD+55 362 b,0,265.59000000,0.780000,,228.83645,,0.270000,,,K3,5012.00,,0.91,0.180,,4.09,,
160,BD+63 1405 b,0,1198.48000000,2.060000,,1258.60049,,0.880000,,,K0,5000.00,,0.82,-0.090,,4.20,,
161,BD-00 4475 b,0,723.20000000,1.480000,,7961.60160,,0.390000,,,G0,5040.00,,0.81,-0.140,,4.25,,
162,BD-06 1339 b,0,3.87280000,0.042800,,8.50000,,0.000000,,,K7/M0 V,4324.00,,0.70,-0.140,-1.022,4.74,4.400,
163,BD-06 1339 c,0,125.94000000,0.435000,,53.00000,,0.310000,,,K7/M0 V,4324.00,,0.70,-0.140,-1.022,4.74,4.400,
164,BD-08 2823 b,0,5.60000000,0.056000,,14.40000,,0.150000,,,K3 V,4746.00,,0.74,-0.070,,4.13,4.500,
165,BD-08 2823 b,0,5.60000000,0.060000,,12.71320,,0.150000,,,,4816.00,0.71,0.50,-0.060,,4.43,,
166,BD-08 2823 c,0,237.60000000,0.680000,,104.00000,,0.190000,,,K3 V,4746.00,,0.74,-0.070,,4.13,4.500,
167,BD-10 3166 b,0,3.48777000,0.040000,,187.51970,,0.020000,,,,5393.00,0.91,1.47,0.380,,4.69,,
168,BD-10 3166 b,0,3.48700000,0.046000,,152.55000,,0.050000,,,K0 V,5400.00,,1.10,0.500,,4.40,,
169,BD-10 3166 b,0,3.48790500,0.045000,,142.70495,,0.022000,,,,5382.64,0.97,1.00,0.370,,4.46,,
170,BD-10 3166 b,0,3.48777000,0.045200,,145.56000,,0.019000,,,,5393.00,,1.01,0.382,,4.68,,
171,BD-11 4672 b,0,1634.00000000,2.360000,,206.58950,,0.050000,,,,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.5300
172,BD-11 4672 b,0,1667.00000000,2.280000,,168.44000,,0.050000,,,K7 V,4475.00,0.52,0.57,-0.480,,4.10,4.400,
173,BD-11 4672 c,0,74.20000000,0.300000,,15.37000,,0.400000,,,,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.5300
174,BD-13 2130 b,0,714.30000000,2.100000,,3368.99800,,0.210000,,,,,,2.40,,,,0.740,
175,BD-13 2130 b,0,714.29999000,1.660000,,3108.37740,,0.210000,,,,4545.00,19.17,2.12,-0.080,,2.20,,
176,BD-17 63 b,0,655.60000000,1.340000,,1620.90000,,0.540000,,,K5 V,4714.00,0.69,0.74,-0.030,-0.678,4.26,4.300,
177,BD-17 63 b,0,655.59998000,1.340000,,905.81550,,0.540000,,,,4665.00,0.74,0.31,0.010,,4.19,,
178,CD Cet b,0,2.29070000,0.018500,,3.95000,,,8.60,464,M5.0 V,3130.00,0.17,0.16,0.130,-2.533,4.93,3.000,
179,CFBDSIR J145829+101343 b,0,10037.50000000,2.600000,3337.10000,3337.10000,,,,370,,580.50,,0.02,,,4.72,,
180,CFHTWIR-Oph 98 b,0,8040000.00000000,200.000000,2479.06157,2479.06157,,,,1800,M9-L1,2320.00,0.24,0.01,,-2.850,3.85,0.003,
181,CHXR 73 b,0,,210.000000,3994.48600,3994.48600,,,,,M3.5,,,0.35,,,,0.002,
182,CI Tau b,0,8.98910000,,3686.82800,3686.82800,,0.250000,,,K7,,,0.90,,-0.108,,0.003,
183,COCONUTS-2 b,0,402000000.00000000,7506.000000,2002.31896,2002.31896,,,,434,M3 V,3406.00,0.39,0.37,0.000,-1.732,4.83,0.475,
184,CT Cha b,0,,440.000000,5403.00000,5403.00000,,,,2600,,,,,,,,0.002,
185,CoRoT-1 b,0,1.50895570,0.026100,359.14790,359.14790,,0.000000,,,,5950.00,1.14,1.03,,,,,
186,CoRoT-1 b,0,1.50895570,,327.35000,327.35000,0.38000,0.000000,,1898,G0 V,5950.00,1.11,0.95,-0.300,,4.25,,
187,CoRoT-1 b,0,1.50896860,0.025360,327.36490,327.36490,0.34400,,,1915,,5950.00,1.13,0.95,-0.300,,4.31,7.800,0.9300
188,CoRoT-1 b,0,1.50896820,0.027520,390.93090,390.93090,0.30200,0.036000,,,,6298.00,1.23,1.22,0.060,,,1.600,
189,CoRoT-1 b,0,1.50897655,0.025900,340.07810,340.07810,0.44000,0.071000,,1834,,5950.00,,,-0.300,,4.25,,
190,CoRoT-10 b,0,13.24060000,0.105500,867.67590,867.67590,3.69000,0.524000,,,,5075.00,0.79,0.89,0.260,,,3.000,
191,CoRoT-10 b,0,13.24060000,0.105500,874.00000,874.00000,3.70000,0.530000,,600,K1 V,5075.00,0.79,0.89,0.260,,4.65,3.000,3.3200
192,CoRoT-10 b,0,13.24060000,0.106000,883.56740,883.56740,4.16000,,,647,,5075.00,0.74,0.90,0.260,,4.65,0.100,3.1000
193,CoRoT-11 b,0,,,,,,,,,,6343.00,1.36,1.56,0.040,,4.27,,0.5810
194,CoRoT-11 b,0,2.99433000,0.044000,743.72220,743.72220,1.00000,,,1735,,6440.00,1.37,1.26,-0.030,,4.26,2.000,0.6870
195,CoRoT-11 b,0,2.99432500,0.044070,832.71460,832.71460,1.11000,0.360000,,,,6440.00,1.37,1.27,0.030,,,2.000,
