# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Dec 14 14:14:16 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_age:         Stellar Age [Gyr]
# COLUMN st_dens:        Stellar Density [g/cm**3]
#
pl_name,pl_controv_flag,pl_orbper,pl_orbsmax,pl_masse,pl_bmasse,pl_dens,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens
16 Cyg B b,0,799.50000000,1.680000,,533.93000,,0.689000,,,,5747.00,1.13,1.03,0.060,0.097,4.35,,1.0110
16 Cyg B b,0,799.50000000,1.680000,,533.93000,,0.689000,,,G3 V,,,,,,,,
16 Cyg B b,0,798.50000000,1.681000,,533.95440,,0.681000,,,,5674.00,,0.99,0.038,,4.36,,
16 Cyg B b,0,798.50000000,1.660000,,565.73740,,0.680000,,,,5750.00,1.13,1.08,0.060,,4.36,,
17 Sco b,0,578.38000000,1.450000,,1373.01872,,0.060000,,,K3 III,4157.00,25.92,1.22,-0.010,2.254,1.70,5.130,
18 Del b,0,,2.540000,,3127.30000,,,,,,,,2.10,,,,,
18 Del b,0,993.30000000,2.600000,,3273.50000,,0.080000,,,G6 III,4979.00,8.50,2.30,-0.052,1.602,2.82,,
1RXS J160929.1-210524 b,0,,330.000000,4000.00000,4000.00000,,,,1700,,4060.00,,0.85,,-0.370,,0.010,
1RXS J160929.1-210524 b,0,,330.000000,3000.00000,3000.00000,,,,1700,K7 V,4060.00,,0.85,,-0.370,,0.005,
1RXS J160929.1-210524 b,0,,330.000000,3000.00000,3000.00000,,,,1800,,3993.00,1.31,0.62,,-0.403,4.00,,0.3879
1RXS J160929.1-210524 b,0,,330.000000,2543.00000,2543.00000,,,,1800,K7 V,4060.00,1.35,0.85,,,,0.005,
24 Boo b,0,30.35060000,0.190000,,289.22530,,0.042000,,,G3 IV,4893.00,10.64,0.99,-0.770,1.774,2.42,6.920,
24 Sex b,0,452.80000000,1.333000,,632.46000,,0.090000,,,,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,
24 Sex c,0,883.00000000,2.080000,,273.32000,,0.290000,,,,5098.00,4.90,1.54,-0.030,1.164,3.50,2.700,
2MASS J01033563-5515561 AB b,0,,84.000000,4131.79000,4131.79000,,,,,M5.5/M6,,,0.19,,,,0.030,
2MASS J01225093-2439505 b,0,,52.000000,7786.50000,7786.50000,,,,,M3.5 V,3530.00,,0.40,,-1.720,,0.120,
2MASS J01225093-2439505 b,0,,,,,,,,1600,,3309.00,0.37,0.35,,-1.838,4.86,,10.1187
2MASS J02192210-3925225 b,0,,156.000000,4417.83700,4417.83700,,,,,M6,3064.00,0.28,0.11,,-2.230,4.59,0.035,
2MASS J04414489+2301513 b,0,,15.000000,2383.60000,2383.60000,,,,,M8.5,,,0.02,,,,0.001,
2MASS J12073346-3932539 b,0,,46.000000,1271.00000,1271.00000,,,,1150,,2825.00,0.22,0.19,,-2.561,5.03,,25.2795
2MASS J12073346-3932539 b,0,,55.000000,1589.15000,1589.15000,,,,1250,M8,,,0.02,,,,0.008,
2MASS J19383260+4603591 b,0,416.00000000,0.920000,603.87700,603.87700,,,,,,,,0.48,,,,,
2MASS J21402931+1625183 A b,0,7336.50000000,,6657.48000,6657.48000,,0.260000,,2075,M8.5,2300.00,0.12,0.08,,-3.480,,,
2MASS J22362452+4751425 b,0,,230.000000,3972.87500,3972.87500,,,,,K7 V,4045.00,,0.60,,,,0.120,
30 Ari B b,0,345.40000000,1.010000,,2097.67800,,0.180000,,,,,1.13,1.16,,,,,
30 Ari B b,0,335.10000000,0.995000,,3140.03000,,0.289000,,,F6 V,6300.00,1.13,1.16,0.245,,4.50,0.910,
30 Ari B b,0,335.10001000,0.990000,,4392.41060,,0.290000,,,,6331.00,1.41,1.93,0.190,,4.43,,
4 UMa b,0,269.30000000,0.870000,,2256.50000,,0.432000,,,K1 III,4415.00,18.11,1.23,-0.250,,1.80,4.604,
42 Dra b,0,479.10000000,1.190000,,1233.13000,,0.380000,,,K1.5 III,4200.00,22.03,0.98,-0.460,,1.71,9.490,
47 UMa b,0,1083.20000000,2.110000,,826.32000,,0.049000,,,G1 V,,,,,,,,
47 UMa b,0,1076.60000000,2.059000,,774.86566,,0.016000,,,,5829.16,1.14,1.01,0.026,,4.33,,
47 UMa b,0,1100.80000000,2.110000,,877.17000,,0.097000,,,,,,,,,,,
47 UMa b,0,1078.00000000,2.100000,,804.08000,,0.032000,,,,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366
47 UMa b,0,1076.60000000,2.100000,,778.68350,,0.012000,,,G0 V,5882.00,,1.06,0.040,,,,
47 UMa c,0,2287.00000000,3.404000,,157.96072,,0.179000,,,,5829.16,1.14,1.01,0.026,,4.33,,
47 UMa c,0,2391.00000000,3.600000,,171.62100,,0.098000,,,,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366
47 UMa c,0,7586.00000000,7.730000,,425.87000,,0.005000,,,G1 V,,,,,,,,
47 UMa d,0,19000.00000000,13.800000,,479.92089,,0.380000,,,,5829.16,1.14,1.01,0.026,,4.33,,
47 UMa d,0,14002.00000000,11.600000,,521.22000,,0.160000,,,,5872.00,1.21,1.06,0.040,0.198,4.30,,0.8366
51 Eri b,0,11688.00000000,12.000000,,,,0.450000,,,,7295.00,1.49,1.65,,0.752,4.31,,0.7071
51 Eri b,0,,13.200000,635.66000,635.66000,,,,700,F0 IV,,,1.75,-0.027,0.850,,0.020,
51 Eri b,0,14965.00000000,14.000000,,,,0.210000,,,,7295.00,1.49,1.65,,0.752,4.31,,0.7071
51 Peg b,0,4.23100000,0.052000,146.20180,146.20180,,0.000000,,,,,,1.04,,,,,
51 Peg b,0,4.23078500,0.052700,,150.00900,,0.013000,,,,5758.00,1.18,1.03,0.180,0.136,4.31,,0.8937
51 Peg b,0,4.23079690,0.052350,,147.47238,,0.004200,,,,5760.76,1.19,1.07,0.206,,4.32,,
51 Peg b,0,4.23077000,0.052000,,148.73800,,0.000000,,,,,,,,,,,
51 Peg b,0,4.22930000,,,149.38010,,0.000000,,,,5773.00,1.29,,0.200,,4.32,10.000,
55 Cnc b,0,14.65152000,0.115227,263.97850,263.97850,,0.003400,,,,,,0.95,,,,,
55 Cnc b,0,14.65171000,0.116200,,267.29369,,0.004800,,,,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc b,0,14.64700000,0.115000,,289.21000,,0.030000,,,,,,,,,,,
55 Cnc b,0,14.64800000,0.110000,,266.97720,,0.051000,,,G8 V,5200.00,,0.85,0.230,,4.50,5.000,
55 Cnc b,0,14.65100000,0.113400,,254.25000,,0.004000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc b,0,14.65300000,0.115000,,266.97720,,0.020000,,,G8 V,,,0.95,0.270,,,5.500,
55 Cnc b,0,14.67000000,0.115000,,249.17872,,0.019700,,,,,,0.95,,,,,
55 Cnc b,0,14.65162000,0.115000,,261.88100,,0.014000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc b,0,14.60000000,0.113000,254.25000,254.25000,,0.000000,,700,K0 IV-V,,,,,,,,
55 Cnc b,0,14.65126000,0.113800,,260.61000,,0.015900,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc b,0,14.46531400,0.113390,266.96600,266.96600,,0.002300,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc b,0,14.65160000,0.113400,,255.40000,,0.000000,,,,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc c,0,44.37300000,0.237350,56.69850,56.69850,,0.072000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc c,0,44.39890000,0.237300,,51.20000,,0.030000,,,,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc c,0,44.38270000,0.243200,,54.34866,,0.048000,,,,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc c,0,43.93000000,0.240000,,68.96911,,0.440000,,,,,,0.95,,,,,
55 Cnc c,0,44.38000000,0.237000,,52.44000,,0.070000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc c,0,44.37870000,0.238000,,52.44000,,0.053000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc c,0,44.34460000,0.240000,,53.71100,,0.086000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc c,0,44.41750000,0.241376,54.47380,54.47380,,0.020000,,,,,,0.95,,,,,
55 Cnc d,0,4517.40000000,5.257000,,1243.35096,,0.327000,,,,,,0.95,,,,,
55 Cnc d,0,4867.00000000,5.446000,1226.77000,1226.77000,,0.026900,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc d,0,4545.00000000,5.280000,,918.49000,,0.240000,,,,,,,,,,,
55 Cnc d,0,5574.20000000,5.957000,,991.60000,,0.130000,,,,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc d,0,5370.00000000,5.840000,,1220.42000,,0.063000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc d,0,5360.00000000,5.900000,,1287.21150,,0.160000,,,G8 V,,,0.95,0.270,,,5.500,
55 Cnc d,0,4820.00000000,5.540000,,908.98924,,0.139000,,,,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc d,0,4909.00000000,5.470000,,1121.89000,,0.020000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc d,0,5218.00000000,5.770000,,1218.82700,,0.025000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc d,0,4825.00000000,5.503000,1232.49300,1232.49300,,0.019000,,,,,,0.95,,,,,
55 Cnc e,0,0.73653900,0.015440,8.08000,8.08000,6.40000,,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,0,0.73654600,0.015830,8.37000,8.37000,4.50000,0.000000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,0,0.73654170,,,,,,,,,,,,,,,,
55 Cnc e,0,0.73654450,0.015830,,9.37594,,0.036000,,,,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc e,0,0.73655150,0.015691,8.13928,8.13928,,0.040000,,,,,,0.95,,,,,
55 Cnc e,0,2.80800000,0.038000,,14.30235,,0.174000,,,,,,0.95,,,,,
55 Cnc e,0,,0.015440,8.08000,8.08000,6.30000,,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,0,0.73654780,0.015439,8.09479,8.09479,,0.028000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,0,,,,,,,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,0,2.79674000,0.037700,,7.46870,,0.264000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc e,0,0.73654000,0.015830,8.63000,8.63000,5.90000,,,,G8 V,,0.94,0.96,,,,,
55 Cnc e,0,0.73654370,0.015440,7.81000,7.81000,4.78000,0.061000,,1958,,5234.00,0.94,0.91,0.310,,4.45,,
55 Cnc e,0,0.73654740,0.015440,7.99000,7.99000,6.66000,0.050000,,,,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc e,0,0.73700000,,7.74000,7.74000,6.25000,,,,,5172.00,0.95,0.87,0.350,,4.43,,1.4100
55 Cnc f,0,261.20000000,0.770000,,54.66400,,0.320000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc f,0,260.98000000,0.792000,,46.87969,,0.142000,,,,5317.89,0.96,0.97,0.383,,4.46,,
55 Cnc f,0,260.00000000,0.781000,,45.76600,,0.200000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc f,0,259.88000000,0.770800,,47.80000,,0.080000,,,,5172.00,0.94,0.91,0.350,,4.43,,
55 Cnc f,0,260.70000000,0.775000,,44.81200,,0.000000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
55 Cnc f,0,262.00000000,0.788000,44.81200,44.81200,,0.305000,,,,,,0.95,,,,,
55 Cnc f,0,260.91000000,0.773300,47.00510,47.00510,,0.080000,,,,5250.00,0.96,0.90,0.350,-0.197,4.42,,1.4185
6 Lyn b,0,899.00000000,2.200000,,762.80000,,0.134000,,,K0 IV,4978.00,5.20,1.70,-0.130,1.176,3.16,,
6 Lyn b,0,874.77400000,2.180000,,702.40430,,0.125000,,,,,5.20,1.82,,,,,
6 Lyn b,0,934.30000000,2.110000,,638.83830,,0.073000,,,,4938.00,5.20,1.44,,,3.19,,
61 Vir b,0,4.21487000,0.049560,,5.11704,,0.099000,,,,5585.57,1.03,0.91,0.028,,4.37,,
61 Vir b,0,4.21500000,0.050201,,5.10000,,0.120000,,,G5 V,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
61 Vir c,0,38.09570000,0.215100,,16.11390,,0.068000,,,,5585.57,1.03,0.91,0.028,,4.37,,
61 Vir c,0,38.02100000,0.217500,,18.20000,,0.140000,,,G5 V,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
61 Vir d,0,123.01000000,0.476000,,22.90000,,0.350000,,,G5 V,5577.00,0.96,0.94,-0.010,-0.095,4.34,8.960,
7 CMa b,0,763.00000000,1.900000,,826.30000,,0.140000,,,K1 III,4792.00,2.30,1.52,0.210,1.053,3.25,,
7 CMa b,0,796.00000000,1.930000,,781.86180,,0.220000,,,,4794.52,4.91,,0.088,,,,
7 CMa b,0,735.10000000,1.758000,,587.98550,,0.060000,,,,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,
7 CMa c,0,996.00000000,2.153000,,276.51210,,0.080000,,,,4826.00,4.87,1.34,0.210,1.063,3.19,4.300,
70 Vir b,0,116.68840000,0.480000,,2421.86460,,0.400000,,,,5531.00,1.84,1.14,-0.060,,3.97,,
70 Vir b,0,116.69335000,0.476500,,2297.89938,,0.398900,,,,5481.86,1.92,1.06,-0.040,,3.89,,
70 Vir b,0,116.69260000,0.481000,,2351.94200,,0.399000,,,,5439.00,1.94,1.09,-0.090,0.451,3.90,7.770,
70 Vir b,0,116.68900000,0.456000,,2084.88000,,0.397000,,,,,,,,,,,
70 Vir b,0,116.68840000,0.484000,2380.45000,2380.45000,,0.400700,,,,5545.00,,1.11,-0.012,,4.07,8.000,
70 Vir b,0,116.68800000,0.481000,,2357.02728,,0.398800,,,,5495.00,1.89,1.09,,,3.95,,
75 Cet b,0,691.90000000,2.100000,,953.49000,,0.117000,,,G3 III,4846.00,10.50,2.49,0.000,1.730,2.63,,
8 UMi b,0,93.40000000,0.490000,,476.74500,,0.060000,,,K0,4847.40,9.90,1.80,-0.030,,2.57,1.700,
8 UMi b,0,93.40000000,0.490000,,416.35730,,0.060000,,,,4847.00,10.30,1.44,-0.030,,2.57,,
81 Cet b,0,,2.170000,,1274.40000,,,,,,,,1.60,,,,,
81 Cet b,0,952.70000000,2.500000,,1684.40000,,0.206000,,,G5 III,4785.00,11.00,2.40,-0.060,1.778,2.35,,
91 Aqr b,0,181.40000000,0.700000,,1017.00000,,0.027000,,,K0 III,4665.00,11.00,1.40,-0.030,,2.52,3.560,
AB Pic b,0,,260.000000,4290.50000,4290.50000,,,,,K2 V,,,,,,,0.030,
AU Mic b,0,8.46321000,0.066000,,57.20940,4.40000,0.100000,,,,3700.00,0.75,0.50,,-1.046,,0.022,
AU Mic b,0,8.46300000,0.064500,17.00000,17.00000,1.40000,0.000000,,593,,3700.00,0.75,0.50,,,,0.022,
AU Mic c,0,18.85901900,0.110100,13.60000,13.60000,2.30000,0.000000,,454,,3700.00,0.75,0.50,,,,0.022,
BD+03 2562 b,0,481.90000000,1.300000,,2034.11200,,0.200000,,,,4095.00,32.35,1.14,-0.710,2.700,1.89,5.200,
BD+14 4559 b,0,268.94000000,0.777000,,467.19000,,0.290000,,,K2 V,5008.00,0.95,0.86,0.100,-0.320,4.60,,
BD+14 4559 b,0,268.94000000,0.780000,,330.54320,,0.290000,,,,4864.00,0.86,0.49,0.170,,4.26,,
BD+15 2375 b,0,153.22000000,0.576000,,337.21763,,0.001000,,,,4649.00,8.95,1.08,-0.220,1.570,2.61,7.410,
BD+15 2940 b,0,137.48000000,0.539000,,352.78000,,0.260000,,,K0,4796.00,14.70,1.10,0.280,2.010,2.80,7.100,
BD+20 2457 b,0,379.63000000,1.450000,,6807.63000,,0.150000,,,K2 II,4137.00,49.00,2.80,-1.000,3.170,1.51,,
BD+20 2457 b,0,379.63000000,1.050000,,17668.16970,,0.150000,,,,4259.00,71.02,10.83,-0.790,,1.77,,
BD+20 2457 c,0,621.99000000,2.010000,,3963.17000,,0.180000,,,K2 II,4137.00,49.00,2.80,-1.000,3.170,1.51,,
BD+20 274 b,0,578.20000000,1.300000,,1334.88600,,0.210000,,,K5 III,4296.00,17.30,0.80,-0.460,1.960,1.99,,
BD+20 594 b,0,41.68550000,0.241000,16.30000,16.30000,7.89000,0.000000,,546,G,5766.00,0.93,0.96,-0.150,-0.056,4.50,3.340,1.7000
BD+20 594 b,0,41.68550000,,22.24810,22.24810,,0.000000,,,,5766.00,1.08,1.67,-0.150,,4.50,,1.8900
BD+20 594 b,0,41.68864400,,,,,,,,,5703.00,0.96,0.96,-0.060,,4.38,,
BD+45 564 b,0,307.88000000,0.830000,,432.24663,,0.120000,,,K1,5004.00,,0.81,-0.090,,4.22,,
BD+48 738 b,0,392.60000000,1.000000,,289.22530,,0.200000,,,K0 III,4414.00,11.00,0.74,-0.200,1.690,2.24,,
BD+48 740 b,0,733.00000000,1.700000,,540.31100,,0.760000,,,,4534.00,10.33,1.09,-0.130,1.640,2.48,,
BD+49 828 b,0,2590.00000000,4.200000,,508.50000,,0.350000,,,K0,4943.00,7.60,1.52,-0.190,1.470,2.85,2.340,
BD+55 362 b,0,265.59000000,0.780000,,228.83645,,0.270000,,,K3,5012.00,,0.91,0.180,,4.09,,
BD+63 1405 b,0,1198.48000000,2.060000,,1258.60049,,0.880000,,,K0,5000.00,,0.82,-0.090,,4.20,,
BD-00 4475 b,0,723.20000000,1.480000,,7961.60160,,0.390000,,,G0,5040.00,,0.81,-0.140,,4.25,,
BD-06 1339 b,0,3.87280000,0.042800,,8.50000,,0.000000,,,K7/M0 V,4324.00,,0.70,-0.140,-1.022,4.74,4.400,
BD-06 1339 c,0,125.94000000,0.435000,,53.00000,,0.310000,,,K7/M0 V,4324.00,,0.70,-0.140,-1.022,4.74,4.400,
BD-08 2823 b,0,5.60000000,0.056000,,14.40000,,0.150000,,,K3 V,4746.00,,0.74,-0.070,,4.13,4.500,
BD-08 2823 b,0,5.60000000,0.060000,,12.71320,,0.150000,,,,4816.00,0.71,0.50,-0.060,,4.43,,
BD-08 2823 c,0,237.60000000,0.680000,,104.00000,,0.190000,,,K3 V,4746.00,,0.74,-0.070,,4.13,4.500,
BD-10 3166 b,0,3.48777000,0.040000,,187.51970,,0.020000,,,,5393.00,0.91,1.47,0.380,,4.69,,
BD-10 3166 b,0,3.48700000,0.046000,,152.55000,,0.050000,,,K0 V,5400.00,,1.10,0.500,,4.40,,
BD-10 3166 b,0,3.48790500,0.045000,,142.70495,,0.022000,,,,5382.64,0.97,1.00,0.370,,4.46,,
BD-10 3166 b,0,3.48777000,0.045200,,145.56000,,0.019000,,,,5393.00,,1.01,0.382,,4.68,,
BD-11 4672 b,0,1634.00000000,2.360000,,206.58950,,0.050000,,,,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.5300
BD-11 4672 b,0,1667.00000000,2.280000,,168.44000,,0.050000,,,K7 V,4475.00,0.52,0.57,-0.480,,4.10,4.400,
BD-11 4672 c,0,74.20000000,0.300000,,15.37000,,0.400000,,,,4550.00,0.64,0.65,-0.350,-0.804,4.64,7.400,3.5300
BD-13 2130 b,0,714.30000000,2.100000,,3368.99800,,0.210000,,,,,,2.40,,,,0.740,
BD-13 2130 b,0,714.29999000,1.660000,,3108.37740,,0.210000,,,,4545.00,19.17,2.12,-0.080,,2.20,,
BD-17 63 b,0,655.60000000,1.340000,,1620.90000,,0.540000,,,K5 V,4714.00,0.69,0.74,-0.030,-0.678,4.26,4.300,
BD-17 63 b,0,655.59998000,1.340000,,905.81550,,0.540000,,,,4665.00,0.74,0.31,0.010,,4.19,,
CD Cet b,0,2.29070000,0.018500,,3.95000,,,8.60,464,M5.0 V,3130.00,0.17,0.16,0.130,-2.533,4.93,3.000,
CFBDSIR J145829+101343 b,0,10037.50000000,2.600000,3337.10000,3337.10000,,,,370,,580.50,,0.02,,,4.72,,
CFHTWIR-Oph 98 b,0,8040000.00000000,200.000000,2479.06157,2479.06157,,,,1800,M9-L1,2320.00,0.24,0.01,,-2.850,3.85,0.003,
CHXR 73 b,0,,210.000000,3994.48600,3994.48600,,,,,M3.5,,,0.35,,,,0.002,
CI Tau b,0,8.98910000,,3686.82800,3686.82800,,0.250000,,,K7,,,0.90,,-0.108,,0.003,
COCONUTS-2 b,0,402000000.00000000,7506.000000,2002.31896,2002.31896,,,,434,M3 V,3406.00,0.39,0.37,0.000,-1.732,4.83,0.475,
CT Cha b,0,,440.000000,5403.00000,5403.00000,,,,2600,,,,,,,,0.002,
CoRoT-1 b,0,1.50895570,0.026100,359.14790,359.14790,,0.000000,,,,5950.00,1.14,1.03,,,,,
CoRoT-1 b,0,1.50895570,,327.35000,327.35000,0.38000,0.000000,,1898,G0 V,5950.00,1.11,0.95,-0.300,,4.25,,
CoRoT-1 b,0,1.50896860,0.025360,327.36490,327.36490,0.34400,,,1915,,5950.00,1.13,0.95,-0.300,,4.31,7.800,0.9300
CoRoT-1 b,0,1.50896820,0.027520,390.93090,390.93090,0.30200,0.036000,,,,6298.00,1.23,1.22,0.060,,,1.600,
CoRoT-1 b,0,1.50897655,0.025900,340.07810,340.07810,0.44000,0.071000,,1834,,5950.00,,,-0.300,,4.25,,
CoRoT-10 b,0,13.24060000,0.105500,867.67590,867.67590,3.69000,0.524000,,,,5075.00,0.79,0.89,0.260,,,3.000,
CoRoT-10 b,0,13.24060000,0.105500,874.00000,874.00000,3.70000,0.530000,,600,K1 V,5075.00,0.79,0.89,0.260,,4.65,3.000,3.3200
CoRoT-10 b,0,13.24060000,0.106000,883.56740,883.56740,4.16000,,,647,,5075.00,0.74,0.90,0.260,,4.65,0.100,3.1000
CoRoT-11 b,0,,,,,,,,,,6343.00,1.36,1.56,0.040,,4.27,,0.5810
CoRoT-11 b,0,2.99433000,0.044000,743.72220,743.72220,1.00000,,,1735,,6440.00,1.37,1.26,-0.030,,4.26,2.000,0.6870
CoRoT-11 b,0,2.99432500,0.044070,832.71460,832.71460,1.11000,0.360000,,,,6440.00,1.37,1.27,0.030,,,2.000,
CoRoT-11 b,0,2.99432500,0.043510,791.39670,791.39670,0.93000,0.000000,,1715,,,1.33,1.23,,,,2.000,0.7400
CoRoT-11 b,0,2.99433000,0.043600,740.51000,740.51000,0.99000,0.000000,,1657,F6 V,6440.00,1.37,1.27,-0.030,,4.22,2.000,0.6900
CoRoT-12 b,0,2.82804200,0.040160,291.43800,291.43800,0.41100,0.070000,,1442,,5675.00,1.12,1.08,0.160,,4.38,6.300,1.0800
CoRoT-12 b,0,2.82804200,0.040130,290.81445,290.81445,0.38100,0.050000,,,,5675.00,1.12,1.08,0.160,,,6.300,
CoRoT-12 b,0,2.82804200,0.039400,281.91521,281.91521,0.44800,,,1410,,5675.00,1.05,1.02,0.160,,4.41,5.800,1.2500
